Player_Name,Club,Position,Goals_Scored,Assists,Total_Points,Minutes,Goals_Conceded,Creativity,Influence,Threat,Bonus,Clean_Sheets
Alex Runnarsson,Arsenal,Goalkeeper,0,0,1,15,0,0.0,16.6,0,0,0
Alexandre Lacazette,Arsenal,Forward,13,3,129,1916,21,307.4,602.4,797,21,7
Bernd Leno,Arsenal,Goalkeeper,0,0,131,3131,37,0.0,702.2,2,11,11
Bukayo Saka,Arsenal,Midfielder,5,5,114,2554,31,650.6,493.0,984,8,8
Calum Chambers,Arsenal,Defender,0,3,36,751,10,169.4,171.8,77,3,2
Cedric Soares,Arsenal,Defender,0,1,28,744,11,114.8,110.8,66,3,2
Daniel Ceballos,Arsenal,Midfielder,0,4,62,1609,17,422.3,359.8,141,7,6
David Luiz,Arsenal,Defender,1,0,41,1396,20,46.7,250.6,144,0,3
Edward Nketiah,Arsenal,Forward,2,1,36,411,6,97.3,116.6,211,5,1
Emile Smith Rowe,Arsenal,Midfielder,2,5,74,1438,10,385.1,273.2,222,3,9
Gabriel Maghalaes,Arsenal,Defender,2,0,78,1996,24,51.0,464.8,233,7,6
Gabriel Teodoro Martinelli Silva,Arsenal,Midfielder,2,1,36,582,3,133.8,142.6,300,0,4
Granit Xhaka,Arsenal,Midfielder,1,2,70,2519,27,327.6,456.0,154,1,10
Hector Bellerin,Arsenal,Defender,1,3,94,2089,24,351.8,362.8,232,17,7
Kieran Tierney,Arsenal,Defender,1,4,96,2299,27,490.1,446.4,201,4,8
Martin Odegaard,Arsenal,Midfielder,1,2,40,861,12,322.8,169.8,167,3,3
Matt Macey,Arsenal,Goalkeeper,0,0,0,0,0,0.0,0.0,0,0,0
Miguel Azeez,Arsenal,Midfielder,0,0,0,0,0,0.0,0.0,0,0,0
Mohamed Naser El Sayed Elneny,Arsenal,Midfielder,1,0,50,1538,20,99.9,200.2,79,3,5
Nicolas Pepe,Arsenal,Midfielder,10,3,114,1606,21,235.9,476.2,774,11,4
Pablo Mari,Arsenal,Defender,0,0,34,900,8,26.4,163.2,16,1,4
Pierre-Emerick Aubameyang,Arsenal,Midfielder,10,3,131,2330,26,361.5,493.8,823,11,10
Reiss Nelson,Arsenal,Midfielder,0,0,2,70,0,9.7,4.2,10,0,0
Rob Holding,Arsenal,Defender,0,1,105,2557,26,76.1,602.6,97,10,11
Sead Kolasinac,Arsenal,Defender,0,0,2,90,1,5.4,3.6,4,0,0
Shkodran Mustafi,Arsenal,Defender,0,0,3,45,1,1.0,11.6,0,0,0
Sokratis Papastathopoulos,Arsenal,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Thomas Partey,Arsenal,Midfielder,0,2,47,1529,18,195.7,289.4,129,0,6
William Saliba,Arsenal,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Willian Borges Da Silva,Arsenal,Midfielder,1,7,78,1398,17,534.8,256.2,228,9,3
Ahmed El Mohamady,Aston Villa,Defender,0,0,33,833,9,201.8,170.4,65,4,3
Anwar El Ghazi,Aston Villa,Midfielder,10,0,111,1604,22,426.1,500.4,726,13,5
Bertrand Traore,Aston Villa,Midfielder,7,7,135,2315,31,530.6,528.4,917,7,11
Carney Chukwuemeka,Aston Villa,Midfielder,0,0,2,18,0,1.1,1.0,5,0,0
Conor Hourihane,Aston Villa,Midfielder,1,1,20,225,2,82.9,65.4,33,3,2
Douglas Luiz Soares de Paulo,Aston Villa,Midfielder,0,2,72,2781,41,304.5,403.4,189,0,12
Emiliano Martinez,Aston Villa,Goalkeeper,0,0,186,3420,46,20.0,1067.2,0,27,15
Ezri Konsa Ngoyo,Aston Villa,Defender,2,0,119,3195,46,34.2,695.6,276,8,12
Henri Lansbury,Aston Villa,Midfielder,0,0,0,0,0,0.0,0.0,0,0,0
Jack Grealish,Aston Villa,Midfielder,6,12,135,2183,28,1029.6,707.4,917,13,12
Jacob Ramsey,Aston Villa,Midfielder,0,0,28,611,10,91.7,72.8,126,0,2
Jaden Philogene-Bidace,Aston Villa,Midfielder,0,0,1,1,0,0.5,0.0,0,0,0
John McGinn,Aston Villa,Midfielder,3,7,114,3330,46,600.5,579.0,361,2,14
Jose Peleteiro Romallo,Aston Villa,Midfielder,0,0,0,0,0,0.0,0.0,0,0,0
Keinan Davis,Aston Villa,Forward,1,1,23,265,1,76.7,77.2,169,0,1
Kortney Hause,Aston Villa,Defender,1,0,32,630,6,2.2,147.0,57,3,3
Mahmoud Ahmed Ibrahim Hassan,Aston Villa,Midfielder,2,1,56,1157,14,180.1,213.6,478,3,6
Marvelous Nakamba,Aston Villa,Midfielder,0,1,27,747,6,32.5,110.8,10,1,4
Matt Targett,Aston Villa,Defender,0,4,138,3404,44,607.0,690.4,122,9,16
Matthew Cash,Aston Villa,Defender,0,2,89,2373,35,352.9,520.8,110,8,11
Morgan Sanson,Aston Villa,Midfielder,0,0,10,288,4,28.8,25.8,10,0,1
Ollie Watkins,Aston Villa,Forward,14,9,168,3328,46,610.4,815.4,1721,18,14
Orjan Nyland,Aston Villa,Goalkeeper,0,0,0,0,0,0.0,0.0,0,0,0
Ross Barkley,Aston Villa,Midfielder,3,2,76,1566,24,579.3,274.2,431,4,8
Tyrone Mings,Aston Villa,Defender,2,2,128,3194,42,97.3,798.4,293,8,14
Wesley Moraes,Aston Villa,Forward,0,0,3,15,1,1.1,5.0,17,0,0
Aaron Connolly,Brighton and Hove Albion,Forward,2,1,38,783,17,74.1,104.2,307,2,1
Adam Lallana,Brighton and Hove Albion,Midfielder,1,1,58,1584,18,355.7,255.2,302,2,5
Adam Webster,Brighton and Hove Albion,Defender,1,0,85,2594,35,96.6,505.4,244,0,9
Alexis Mac Allister,Brighton and Hove Albion,Midfielder,1,1,48,1108,14,210.6,170.6,235,3,5
Alireza Jahanbakhsh,Brighton and Hove Albion,Midfielder,0,1,24,520,9,162.8,73.2,221,0,1
Andi Zeqiri,Brighton and Hove Albion,Forward,0,0,9,164,2,18.8,16.0,107,0,0
Ben White,Brighton and Hove Albion,Defender,0,0,104,3192,44,152.5,488.6,153,5,12
Bernardo Fernandes da Silva Junior,Brighton and Hove Albion,Defender,0,0,5,205,3,32.4,27.2,69,0,0
Dan Burn,Brighton and Hove Albion,Defender,1,0,64,2057,28,183.1,389.0,214,1,6
Danny Welbeck,Brighton and Hove Albion,Forward,6,4,89,1541,18,269.7,319.8,595,15,6
Davy Propper,Brighton and Hove Albion,Midfielder,0,0,9,209,2,5.1,24.0,52,0,0
Jakub Moder,Brighton and Hove Albion,Midfielder,0,0,21,643,10,62.2,63.8,162,0,2
Jason Steele,Brighton and Hove Albion,Goalkeeper,0,0,0,0,0,0.0,0.0,0,0,0
Jayson Molumby,Brighton and Hove Albion,Midfielder,0,0,1,1,0,0.0,0.0,0,0,0
Joel Veltman,Brighton and Hove Albion,Defender,1,1,96,2280,27,366.0,484.4,169,10,9
Jose Izquierdo,Brighton and Hove Albion,Midfielder,0,0,1,8,0,1.3,3.2,7,0,0
Leandro Trossard,Brighton and Hove Albion,Midfielder,5,6,132,2602,30,725.1,543.4,759,15,12
Lewis Dunk,Brighton and Hove Albion,Defender,5,0,130,2932,40,136.7,720.4,443,17,11
Mathew Ryan,Brighton and Hove Albion,Goalkeeper,0,0,37,1260,21,10.7,193.6,2,0,3
Neal Maupay,Brighton and Hove Albion,Forward,8,2,105,2508,34,443.2,442.2,1103,12,10
Pascal Gross,Brighton and Hove Albion,Midfielder,3,8,116,2479,28,1087.8,620.4,415,11,10
Percy Tau,Brighton and Hove Albion,Midfielder,0,1,7,101,2,35.8,26.8,6,0,0
Reda Khadra,Brighton and Hove Albion,Midfielder,0,0,1,4,0,0.0,0.0,2,0,0
Robert Sanchez,Brighton and Hove Albion,Goalkeeper,0,0,101,2430,27,10.0,542.2,4,8,10
Solomon March,Brighton and Hove Albion,Midfielder,2,2,69,1670,25,414.3,368.6,322,6,7
Steven Alzate,Brighton and Hove Albion,Midfielder,1,0,35,892,17,154.9,132.2,88,3,5
Tariq Lamptey,Brighton and Hove Albion,Defender,1,3,35,887,15,162.9,147.8,156,2,2
Yves Bissouma,Brighton and Hove Albion,Midfielder,1,0,77,3112,42,295.5,523.6,196,2,11
Anthony Driscoll-Glennon,Burnley,Defender,0,0,0,0,0,0.0,0.0,0,0,0
Ashley Barnes,Burnley,Forward,3,0,52,1324,19,243.6,153.8,548,7,6
Ashley Westwood,Burnley,Midfielder,3,4,112,3410,55,843.2,559.2,156,5,11
Bailey Peacock-Farrell,Burnley,Goalkeeper,0,0,3,360,14,0.0,82.6,0,0,0
Ben Mee,Burnley,Defender,2,0,102,2693,41,71.6,691.0,312,7,10
Charlie Taylor,Burnley,Defender,0,2,83,2425,42,248.5,494.4,52,5,8
Chris Wood,Burnley,Forward,12,3,138,2741,43,323.2,595.8,1129,16,9
Dale Stephens,Burnley,Midfielder,0,0,8,257,4,8.3,31.0,41,0,0
Dwight McNeil,Burnley,Midfielder,2,5,113,3068,50,790.3,591.8,277,8,11
Erik Pieters,Burnley,Defender,0,3,50,1260,19,77.0,199.4,63,5,3
Jack Cork,Burnley,Midfielder,0,0,33,1350,24,126.2,140.0,82,0,4
James Tarkowski,Burnley,Defender,1,0,109,3240,50,148.0,773.4,350,9,11
Jay Rodriguez,Burnley,Forward,1,3,54,1248,25,97.4,149.8,449,2,4
Jeff Hendrick,Burnley,Midfielder,2,1,52,1418,24,99.0,211.4,95,3,3
Jimmy Dunne,Burnley,Defender,1,0,9,270,6,22.1,79.6,81,0,0
Joel Mumbongo,Burnley,Forward,0,0,3,37,1,1.8,0.0,0,0,0
Johann Berg Gudmundsson,Burnley,Midfielder,2,0,50,1358,24,160.8,193.6,170,3,3
Josh Benson,Burnley,Midfielder,0,0,10,260,7,7.9,16.0,13,0,1
Josh Brownhill,Burnley,Midfielder,0,1,74,2812,42,309.1,350.4,384,0,10
Kevin Long,Burnley,Defender,0,0,14,636,13,12.0,102.6,25,1,1
Lewis Richardson,Burnley,Forward,0,0,2,3,0,0.0,0.0,0,0,0
Matej Vydra,Burnley,Forward,3,2,62,1359,24,194.0,197.4,491,2,3
Matthew Lowton,Burnley,Defender,1,1,103,3060,47,380.8,551.2,125,6,10
Nick Pope,Burnley,Goalkeeper,0,0,144,2880,37,20.0,846.6,2,20,11
Phil Bardsley,Burnley,Defender,0,0,2,273,8,12.9,39.4,6,0,0
Robbie Brady,Burnley,Midfielder,1,1,44,1047,6,133.9,174.2,168,3,7
Will Norris,Burnley,Goalkeeper,0,0,3,180,4,10.0,15.2,0,0,0
Andreas Christensen,Chelsea,Defender,0,0,61,1371,17,80.9,293.4,34,9,8
Antonio Rudiger,Chelsea,Defender,1,0,93,1710,10,83.8,368.6,201,9,11
Benjamin Chilwell,Chelsea,Defender,3,6,139,2286,23,535.8,545.0,408,11,12
Billy Gilmour,Chelsea,Midfielder,0,0,8,259,2,50.9,36.0,8,0,1
Callum Hudson-Odoi,Chelsea,Midfielder,2,3,59,1050,5,471.5,291.8,336,2,6
Cesar Azpilicueta,Chelsea,Defender,1,2,113,2187,20,413.3,502.2,164,12,13
Christian Pulisic,Chelsea,Midfielder,4,3,82,1731,21,378.8,361.4,724,3,7
Edouard Mendy,Chelsea,Goalkeeper,0,0,140,2745,25,0.0,470.2,0,8,16
Emerson Palmieri dos Santos,Chelsea,Defender,0,0,7,88,0,7.7,17.4,2,0,1
Faustino Anjorin,Chelsea,Midfielder,0,0,0,0,0,0.0,0.0,0,0,0
Fikayo Tomori,Chelsea,Defender,0,0,0,45,2,0.1,26.6,0,0,0
Hakim Ziyech,Chelsea,Midfielder,2,3,70,1164,7,485.6,274.8,369,8,10
Jorge Luiz Frello Filho,Chelsea,Midfielder,7,2,114,2006,17,383.5,588.8,175,15,14
Kai Havertz,Chelsea,Midfielder,4,6,91,1512,15,307.7,325.0,514,3,8
Karlo Ziger,Chelsea,Goalkeeper,0,0,0,0,0,0.0,0.0,0,0,0
Kepa Arrizabalaga,Chelsea,Goalkeeper,0,0,26,585,8,0.0,113.6,0,5,2
